Date,Open,High,Low,Close,Volume BTC
2019-06-25,11023.9,11800.0,11007.5,11765.1,11623.88144358
2019-06-26,11765.1,13875.7,11540.1,12933.7,25637.82859518
2019-06-27,12933.2,13360.9,10300.0,11148.0,25035.66966057
2019-06-28,11161.9,12450.0,10723.3,12360.0,13815.53621372
2019-06-29,12370.0,12436.2,11172.6,11865.1,10990.60288378
2019-06-30,11865.1,12200.0,10650.0,10752.3,10959.68537569
2019-07-01,10749.4,11239.0,9900.0,10575.9,14633.39438537
2019-07-02,10578.7,10947.3,9666.0,10837.3,15317.90208157
2019-07-03,10837.2,12037.0,10807.3,11979.8,16123.60034549
2019-07-04,11984.7,12064.4,10601.0,11148.3,7856.19947708
2019-07-05,11145.0,11482.9,10736.0,11006.0,8055.43677022
2019-07-06,10988.7,11728.5,10945.6,11233.5,5353.27428748
2019-07-07,11234.2,11631.2,11000.0,11480.7,4619.32546455
2019-07-08,11481.5,12404.6,11323.7,12298.0,7494.77812687
2019-07-09,12299.7,12826.5,12127.0,12570.5,8812.14375715
2019-07-10,12562.9,13197.8,11555.0,12096.2,12774.21431449
2019-07-11,12096.0,12096.0,10957.0,11343.5,13431.14583169
2019-07-12,11346.1,11930.2,11091.3,11798.1,7210.26042024
2019-07-13,11804.0,11844.5,10800.1,11381.5,7153.01536348
2019-07-14,11381.5,11461.1,10275.1,10621.1,7554.98168904
2019-07-15,10622.7,11078.3,9789.0,10840.4,9896.55364709
2019-07-16,10840.8,11038.1,9365.0,9420.3,14549.88976143
2019-07-17,9420.5,9979.4,9099.0,9703.9,13073.68165922
2019-07-18,9701.3,10800.0,9250.1,10636.6,13028.99664647
2019-07-19,10647.2,10775.0,10122.0,10535.2,7418.36136261
2019-07-20,10530.8,11210.0,10379.5,10774.9,6939.80734523
2019-07-21,10774.7,10842.2,10188.0,10595.3,5461.71221755
2019-07-22,10595.3,10685.1,10071.0,10323.9,6592.61341474
2019-07-23,10324.0,10328.9,9800.0,9840.6,7956.17264384
2019-07-24,9840.6,9919.6,9500.1,9769.8,8280.47415170
2019-07-25,9770.0,10187.4,9734.6,9878.0,5604.36102566
2019-07-26,9878.0,9911.3,9625.2,9852.0,4320.29943763
2019-07-27,9850.9,10204.6,9269.1,9471.8,6349.43883010
2019-07-28,9472.8,9630.0,9120.0,9531.7,3862.18796917
2019-07-29,9536.2,9709.7,9375.0,9499.9,4104.96177138
2019-07-30,9495.4,9766.1,9381.3,9594.1,3996.70214890
2019-07-31,9594.0,10135.8,9575.0,10090.1,6067.91115085
2019-08-01,10090.3,10530.0,9882.4,10408.9,6555.68652868
2019-08-02,10408.9,10665.4,10327.9,10531.5,5203.22201179
2019-08-03,10532.7,10928.0,10507.0,10809.9,3958.82486203
2019-08-04,10809.9,11078.7,10539.9,10972.4,4989.39900931
2019-08-05,10977.6,11940.0,10973.0,11799.6,8456.18018477
2019-08-06,11799.6,12340.0,11200.0,11458.8,10983.92645999
2019-08-07,11458.1,12173.8,11387.0,11962.7,9518.03243373
2019-08-08,11973.3,12065.0,11472.6,11982.6,5503.28967046
2019-08-09,11992.9,12042.0,11660.0,11857.6,4972.62735052
2019-08-10,11859.6,11975.0,11230.2,11284.7,5075.90454317
2019-08-11,11280.0,11581.0,11101.9,11526.7,3242.58542379
2019-08-12,11539.7,11550.2,11235.0,11384.2,2521.40994313
2019-08-13,11386.0,11442.6,10751.0,10857.0,5530.49168914
2019-08-14,10855.1,10862.0,9900.0,10018.0,9345.62962355
2019-08-15,10018.0,10450.0,9490.0,10304.5,11725.54421272
2019-08-16,10300.9,10535.0,9728.0,10362.1,8443.90114207
2019-08-17,10362.2,10475.0,9999.9,10211.8,3766.05859122
2019-08-18,10211.8,10502.4,10065.0,10326.4,2908.43736041
2019-08-19,10325.0,10950.0,10267.5,10921.8,5196.35981986
2019-08-20,10921.4,10959.0,10560.1,10759.9,3828.56520889
2019-08-21,10759.9,10800.0,9853.2,10125.0,8841.95813426
2019-08-22,10125.0,10233.9,9752.2,10107.9,6511.37064984
2019-08-23,10105.2,10478.6,10037.7,10406.3,4021.56715700
2019-08-24,10407.5,10421.4,9883.4,10140.5,4180.40112259
2019-08-25,10148.7,10398.6,9910.1,10134.5,4209.49104422
2019-08-26,10142.1,10697.9,10142.1,10364.6,7297.68866568
2019-08-27,10364.4,10387.9,10033.0,10177.3,3401.11595726
2019-08-28,10180.0,10297.7,9533.0,9716.1,6687.99385334
2019-08-29,9714.9,9714.9,9307.8,9484.3,5907.22044466
2019-08-30,9484.7,9708.0,9350.5,9578.0,4391.33914057
2019-08-31,9577.9,9690.0,9400.0,9604.3,1980.08707079
2019-09-01,9602.1,9850.0,9540.8,9764.9,2143.79286394
2019-09-02,9765.0,10490.0,9752.8,10389.5,6360.47932096
2019-09-03,10389.6,10785.6,10271.6,10614.6,7101.50581787
2019-09-04,10619.7,10892.1,10319.0,10584.9,6149.09377268
2019-09-05,10585.0,10662.4,10457.3,10574.9,3484.58759942
2019-09-06,10577.5,10947.0,10145.3,10311.8,8328.94549932
2019-09-07,10307.5,10569.1,10307.5,10483.4,2190.39254856
2019-09-08,10483.3,10599.1,10240.9,10408.6,2078.25440436
2019-09-09,10398.9,10523.0,10051.0,10314.5,4756.56870284
2019-09-10,10309.2,10388.0,9938.1,10094.5,4302.89474056
2019-09-11,10097.0,10250.0,9886.5,10160.7,5419.95480161
2019-09-12,10161.0,10479.9,10040.1,10420.0,4997.36568605
2019-09-13,10419.8,12000.0,8000.0,10362.1,4222.08556358
2019-09-14,10362.2,10440.0,10210.7,10363.2,2090.84296902
2019-09-15,10363.5,10380.0,10270.1,10311.3,1231.07158466
2019-09-16,10311.3,10374.7,10000.0,10260.6,3342.93445037
2019-09-17,10260.7,10276.3,10134.7,10190.0,2862.78629000
2019-09-18,10188.0,10259.9,10041.8,10157.6,2947.65276632
2019-09-19,10157.7,10375.0,9633.8,10274.4,6317.87392557
2019-09-20,10274.4,10310.0,10069.0,10173.3,2979.57136009
2019-09-21,10173.8,10175.1,9903.7,9978.4,2133.83021089
2019-09-22,9980.0,10080.0,9850.0,10029.1,2127.34441348
2019-09-23,10029.2,10045.4,9615.0,9686.9,4041.35507992
2019-09-24,9696.0,9776.0,8046.0,8536.7,16439.01384206
2019-09-25,8535.0,8743.6,8000.0,8439.0,10165.91765298
2019-09-26,8439.0,8465.7,7730.0,8060.3,10824.42109647
2019-09-27,8063.0,8290.0,7850.0,8196.0,7405.79814858
2019-09-28,8195.9,8426.0,8024.9,8213.5,3824.92774834
2019-09-29,8214.0,8240.3,7909.0,8053.1,4937.63306462
2019-09-30,8053.3,8363.0,7655.0,8310.0,7532.44669163
2019-10-01,8310.0,8540.0,8201.8,8323.0,7856.25020541
2019-10-02,8323.0,8389.0,8168.2,8382.3,3884.72475803
2019-10-03,8382.2,8411.7,8070.1,8238.1,5110.21641641
2019-10-04,8245.4,8248.0,8001.0,8152.2,3962.29288913
2019-10-05,8155.0,8211.4,8023.3,8148.4,2165.33338854
2019-10-06,8150.8,8181.6,7780.0,7863.0,4761.79735033
2019-10-07,7863.0,8316.2,7769.7,8213.4,6458.49396534
2019-10-08,8213.4,8348.0,8112.1,8189.6,3839.86688141
2019-10-09,8180.2,8690.0,8118.1,8590.8,6095.51566733
2019-10-10,8589.9,8660.0,8456.8,8588.6,4491.79646465
2019-10-11,8588.6,8932.5,8230.3,8270.6,6684.48836003
2019-10-12,8269.3,8419.9,8265.0,8305.1,1335.94794356
2019-10-13,8305.1,8470.5,8144.4,8280.0,2659.77926754
2019-10-14,8280.0,8421.6,8214.6,8354.6,2175.19513106
2019-10-15,8354.6,8419.1,8060.5,8164.5,3446.28557862
2019-10-16,8164.5,8176.2,7916.0,8000.0,4175.76513585
2019-10-17,8000.1,8136.4,7938.8,8077.1,3371.34839504
2019-10-18,8077.1,8113.9,7821.0,7956.4,4812.45299948
2019-10-19,7956.3,8104.7,7878.6,7958.9,2506.19289998
2019-10-20,7960.0,8305.0,7882.5,8240.2,3549.21261809
2019-10-21,8240.1,8387.3,8136.0,8217.8,3238.66567053
2019-10-22,8210.3,8325.0,8000.0,8020.6,4402.04347714
2019-10-23,8020.6,8050.3,7302.0,7475.0,9256.02935576
2019-10-24,7473.9,7520.0,7360.0,7428.5,3888.46848210
2019-10-25,7426.4,8788.0,7400.0,8665.2,11146.74642007
2019-10-26,8669.4,10580.5,8646.6,9258.2,21100.98544246
2019-10-27,9261.7,9821.0,9106.3,9543.1,8972.37687837
2019-10-28,9554.1,9936.5,9187.6,9218.7,7774.23664903
2019-10-29,9217.1,9563.8,9030.0,9435.7,6443.02327089
2019-10-30,9435.1,9435.3,9000.0,9166.2,4885.88440327
2019-10-31,9163.9,9459.7,8949.6,9146.7,5161.90035164
2019-11-01,9151.9,9323.4,9058.1,9258.9,3424.08898477
2019-11-02,9258.2,9392.0,9204.4,9303.6,2319.75219001
2019-11-03,9303.6,9383.7,9080.0,9209.3,1976.07497804
2019-11-04,9209.9,9600.0,9130.0,9415.3,4210.55547002
2019-11-05,9415.2,9534.7,9175.0,9315.4,3879.89314136
2019-11-06,9313.0,9444.0,9255.0,9338.4,2425.04943523
2019-11-07,9339.6,9375.0,9084.9,9205.0,2735.36761936
2019-11-08,9205.0,9247.6,8675.0,8766.0,6097.43096545
2019-11-09,8765.9,8877.2,8721.0,8812.0,1669.90248078
2019-11-10,8812.1,9147.6,8751.7,9039.1,2916.52294666
2019-11-11,9039.0,9068.2,8610.0,8717.0,3855.37696814
2019-11-12,8717.0,8868.1,8560.0,8812.8,3351.96032150
2019-11-13,8812.8,8839.7,8709.6,8762.1,1944.95884718
2019-11-14,8763.9,8785.0,8561.0,8632.1,2648.09074564
2019-11-15,8632.0,8780.0,8375.4,8456.0,4632.18232862
